company,position
TWUSUPER-GBS,SENIOR HUMAN RESOURCES SPECIALIST
UniSuper Management Pty Ltd,"MANAGER, APPLICATION SERVICES"
UniSuper Management Pty Ltd,INFRASTRUCTURE & CLOUD MANAGER
UniSuper Management Pty Ltd,MANAGER ENTERPRISE IT GOVERNANCE & PLANN
UNISUPER164-CEBBS,UNDISCLOSED JOB TITLE
UNIV OF CANBERRA,DEPUTY DIRECTOR
UNIVERSITY OF CANTERBURY-GBS,UNDISCLOSED JOB TITLE
UNIVERSITY OF NEW ENGLAND,ASSOCIATE DIRECTOR DIGITAL OPERATIONS
UNIVERSITY OF NEW SOUTH WALES,"DIRECTOR, CUSTOMER SERVICE AND DELIVERY"
UNIVERSITY OF NEW SOUTH WALES,HEAD OF SERVICE MANAGEMENT OFFICE
UNIVERSITY OF NEW SOUTH WALES,SERVICES HEAD OF PRODUCTION
UNIVERSITY OF NEW SOUTH WALES,TEAM LEADER CRITICAL INFRASTRUCTURE
VIC DEPT OF HEALTH & HUMAN SERVICES,UNDISCLOSED JOB TITLE
VICTORIAN AGENCY FOR HEALTH INFORMATION,UNDISCLOSED JOB TITLE
VICTORIAN AGENCY FOR HEALTH INFORMATION,INFORMATION ARCHITECT
VICTORIAN AGENCY FOR HEALTH INFORMATION,UNDISCLOSED JOB TITLE
VICTORIAN AGENCY FOR HEALTH INFORMATION,UNDISCLOSED JOB TITLE
VILLA MARIA CATHOLIC HOMES,HEAD OF ICT INFRASTRUCTURE AND OPERATION
VNG CORPORATION-VN-HT,VP
WA DEPT OF TRANSPORT,INFRASTRUCTURE TEAM LEADER
Weill Cornell Medical College,CIO
Western Power Corporation,HEAD OF TECH AND DATA
Western Power Corporation,"ENTERPRISE PLATFORMS & INFRASTRUCTURE
MANAGER"
Western Sydney Local Health District,DIRECTOR CLINICAL SYSTEMS
WISE MANAGEMENT SERVICES LIMITED,UNDISCLOSED JOB TITLE
WISE MANAGEMENT SERVICES LIMITED,UNDISCLOSED JOB TITLE
WOODSIDE ENERGY LTD,IT OPERATIONS MANAGER
WOODSIDE ENERGY LTD,IT PLATFORM LEAD
WOODSIDE ENERGY LTD,IT READINESS MANAGER
x15ventures,CTO
XTREMAX PRIVATE LIMITED,SENIOR DIRECTOR
Yarra Valley Water,CLOUD PLATFORM MANAGER
Yoogalu Pty Ltd,TECHNICAL ARCHITECT
